year,elec_total_nominal,elec_total_real,elec_commercial_nominal,elec_commercial_real,elec_industrial_nominal,elec_industrial_real,elect_residential_nominal,elec_residential_real,gas_nominal,gas_real
1960,1.8,9.7,2.4,12.9,1.1,5.9,2.6,14,,
1961,1.8,9.6,2.4,12.8,1.1,5.8,2.6,13.8,,
1962,1.8,9.4,2.4,12.6,1.1,5.8,2.6,13.6,,
1963,1.8,9.3,2.3,11.9,1,5.2,2.5,13,,
1964,1.7,8.7,2.2,11.2,1,5.1,2.5,12.8,,
1965,1.7,8.5,2.2,11,1,5,2.4,12,,
1966,1.7,8.3,2.1,10.2,1,4.9,2.3,11.2,,
1967,1.7,8,2.1,9.9,1,4.7,2.3,10.9,,
1968,1.6,7.3,2.1,9.5,1,4.5,2.3,10.4,,
1969,1.6,6.9,2.1,9.1,1,4.3,2.2,9.5,,
1970,1.7,7,2.1,8.6,1,4.1,2.2,9,,
1971,1.8,7,2.2,8.6,1.1,4.3,2.3,9,,
1972,1.9,7.1,2.3,8.6,1.2,4.5,2.4,9,,
1973,2,7.1,2.4,8.5,1.3,4.6,2.5,8.9,,
1974,2.5,8.2,3,9.8,1.7,5.5,3.1,10.1,,
1975,2.9,8.6,3.5,10.4,2.1,6.3,3.5,10.4,,
1976,3.1,8.7,3.7,10.4,2.2,6.2,3.7,10.4,0.5947,2.43151834443794
1977,3.4,9,4.1,10.9,2.5,6.6,4.1,10.9,0.62,2.38092580698378
1978,3.7,9.2,4.4,10.9,2.8,6.9,4.3,10.6,0.63,2.24782100906885
1979,4,9.1,4.7,10.7,3.1,7.1,4.6,10.5,0.86,2.75808575889782
1980,4.7,9.8,5.5,11.5,3.7,7.7,5.4,11.3,1.24573855226484,3.51992790513179
1981,5.5,10.5,6.3,12.1,4.3,8.2,6.2,11.9,1.37834387686593,3.52842339985354
1982,6.1,11,6.9,12.4,5,9,6.9,12.4,1.25760110102988,3.03257695004903
1983,6.3,10.9,7,12.1,5,8.7,7.2,12.5,1.20539177159323,2.81765481046698
1984,6.25,10.45,7.13,11.92,4.83,8.07,7.15,11.95,1.17585445979959,2.63357043529653
1985,6.44,10.45,7.27,11.8,4.97,8.06,7.39,11.99,1.16651299065363,2.52361750853392
1986,6.44,10.22,7.2,11.43,4.93,7.83,7.42,11.78,0.884830362521141,1.877727666065
1987,6.37,9.83,7.08,10.92,4.77,7.36,7.45,11.49,0.912450387746362,1.86944821764454
1988,6.35,9.47,7.04,10.5,4.7,7.01,7.48,11.16,0.909231514563673,1.78948370094767
1989,6.45,9.27,7.2,10.35,4.72,6.78,7.65,11,0.986869198318285,1.85348248271598
1990,6.57,9.09,7.34,10.16,4.74,6.56,7.83,10.84,1.12665181681321,2.00723781807507
1991,6.75,9.02,7.53,10.06,4.83,6.46,8.04,10.75,1.10213688777794,1.88413039445298
1992,6.82,8.9,7.66,10,4.83,6.31,8.21,10.72,1.08692067076719,1.80326936972658
1993,6.93,8.85,7.74,9.89,4.85,6.19,8.32,10.63,1.06718664776631,1.71946722978395
1994,6.91,8.64,7.73,9.67,4.77,5.97,8.38,10.48,1.07601346569925,1.68982787889702
1995,6.89,8.44,7.69,9.42,4.66,5.71,8.4,10.29,1.11070769142965,1.69671357075337
1996,6.86,8.25,7.64,9.19,4.6,5.53,8.36,10.05,1.20085457421933,1.78208758248833
1997,6.85,8.09,7.59,8.97,4.53,5.35,8.43,9.96,1.19893730216963,1.73860136975697
1998,6.74,7.88,7.41,8.66,4.48,5.23,8.26,9.65,1.02948693172935,1.47013512692012
1999,6.64,7.65,7.26,8.36,4.43,5.1,8.16,9.4,1.13931456542113,1.59205594597159
2000,6.81,7.68,7.43,8.37,4.64,5.23,8.24,9.29,1.48755755603781,2.01098055942553
2001,7.29,8.04,7.92,8.73,5.05,5.57,8.58,9.46,1.42522571688999,1.87393440308044
2002,7.2,7.81,7.89,8.56,4.88,5.29,8.44,9.15,1.3440247089095,1.7394133151262
2003,7.44,7.9,8.03,8.53,5.11,5.43,8.72,9.26,1.55824116942967,1.97134699397929
2004,7.61,7.86,8.17,8.44,5.25,5.42,8.95,9.25,1.85122635060466,2.28115413257748
2005,8.14,8.14,8.67,8.67,5.73,5.73,9.45,9.45,2.27081622693218,2.70707382664804
2006,8.9,8.62,9.46,9.16,6.16,5.97,10.4,10.07,2.57588213342628,2.97489369884786
2007,9.13,8.59,9.65,9.08,6.39,6.02,10.65,10.03,2.80586913493732,3.15008167093255
2008,9.74,8.97,10.36,9.54,6.83,6.29,11.26,10.37,3.25652555769577,3.52167260938211
2009,9.82,8.95,10.17,9.27,6.81,6.21,11.51,10.49,2.34933849075683,2.54876562128721
2010,9.83,8.86,10.19,9.18,6.77,6.1,11.54,10.4,2.78143665180716,2.96886146708353
2011,9.99,8.81,10.32,9.1,6.89,6.08,11.8,10.41,3.52629778352026,3.64928150533808
2012,,,,,,,,,3.62716944335092,3.67734304209987
2013,,,,,,,,,3.49044786907364,3.48162389310201
2104,,,,,,,,,3.36562517857357,3.29701823796299